epoch,train_loss,val_rmse,val_pearson_r,val_kendall_tau
0,0.05487118114399005,6.58361546347058,-0.04395878047209464,-0.06024873826237856
1,0.04049605508393879,4.408070424265435,0.23062380275583877,0.06828190336402903
2,0.039865789534170415,4.9884743318816795,0.07394271176036235,0.012049747652475712
3,0.03430590146704565,3.854021090434215,0.12037370922807053,0.028116077855776665
4,0.037690209437020214,2.751338586193057,0.19211638890225113,0.08434823356733
5,0.02962877327882791,1.9593195035573412,0.2477630262838502,0.13254722417723283
6,0.03839080922211273,2.1275833645731512,0.244519319986204,0.08434823356733
7,0.026246131220950358,1.6486249557681336,0.4723996356013755,0.3173100215151938
8,0.02894296676297731,1.6837836912659039,0.4655567818452998,0.34140951682014514
9,0.024788667884054063,1.5753751426193459,0.45627727555283565,0.3173100215151938
10,0.024775357940528965,1.3930379849600125,0.5558617991212792,0.34140951682014514
11,0.02199428556840631,1.4611240370179537,0.5292201237988482,0.3494426819217957
12,0.021866519994373564,1.4967577221223705,0.6009071117173986,0.3735421772267471
13,0.021946547529365444,1.270601772124232,0.62376202236711,0.35747584702344615
14,0.025707318812985963,1.2787304518594174,0.6683174776066488,0.4297743329383004
15,0.022111860257160814,1.410142133361358,0.6330771962593803,0.41370800273499947
16,0.01920347689073297,1.4645776068362348,0.544223469301089,0.3173100215151938
17,0.019404474693008617,1.5865945339836356,0.4777083778081682,0.26107786580364045
18,0.01821170124826552,1.3989825931428175,0.5502275267562625,0.34140951682014514
19,0.01588214575489865,1.5674947915738242,0.5612734372626837,0.35747584702344615
20,0.022541075944900513,1.901057938673035,0.5496764414817003,0.3655090121250966
21,0.016341356159765508,1.4716413113180111,0.5590176707889036,0.38157534232839757
22,0.015638069261478472,2.1158811614779247,0.641276105782705,0.43780749803995084
23,0.016387483364419093,1.775320656390017,0.6476612132720991,0.4297743329383004
24,0.015449915882907336,1.784206677736865,0.48533918115760677,0.3173100215151938
25,0.016855814411670347,2.2558651586281986,0.5167326543727786,0.3173100215151938
26,0.013213367024554482,1.326069653034551,0.6315428630871753,0.38157534232839757
27,0.016909068521065048,1.58031590777637,0.7187146090745753,0.38157534232839757
28,0.01461620798593835,1.9846430796769299,0.6478069695815254,0.3735421772267471
29,0.0184653691853149,1.9890720263638257,0.6380617577679019,0.34140951682014514
30,0.011425117903117891,1.5354203569386535,0.5834502486728999,0.34140951682014514
31,0.009928120087973679,1.9236256998082255,0.46971843113072165,0.2771441960069414
32,0.011448836779292626,2.8485487849144433,0.4311400742611744,0.25304470070199
33,0.012532945863808258,1.3607747011958933,0.5724584130941998,0.3655090121250966
34,0.01019010136399088,2.115032397342075,0.6353554993834227,0.3735421772267471
35,0.010612179206896432,1.9786532006428057,0.5943464993703673,0.3092768564135433
36,0.011571405809136886,2.4755142655914844,0.5826097556630218,0.30124369131189277
37,0.010244917454598825,1.6441953419748643,0.5942516039730183,0.3173100215151938
38,0.010949849893775168,1.3257656474251758,0.5893009327047504,0.41370800273499947
39,0.01185467009302936,1.3588127719217977,0.5716207992400156,0.3173100215151938
40,0.012508865398696707,1.5980237124043104,0.42564051155334715,0.22091204029538805
41,0.012137349270567109,2.3804755019323283,0.3617164020667905,0.16467988458383473
42,0.008781146305271341,3.37240158192504,0.48172123962340707,0.32534318661684425
43,0.008608753922619398,1.9462645966531715,0.5288334390214638,0.32534318661684425
44,0.009293045424207856,1.873701437373034,0.6600786921731084,0.38157534232839757
45,0.012300505102435244,1.637992348476293,0.5695691414735311,0.32534318661684425
46,0.010220686091652399,3.147880383236395,0.5067277104232057,0.2771441960069414
47,0.00842829388153704,1.8742550916666907,0.5705463169481894,0.3173100215151938
48,0.010194798436345933,1.295164400755629,0.6070405380456944,0.35747584702344615
49,0.012102515259875527,1.7268079442483824,0.6056861205176634,0.3333763517184947
50,0.011889998859997038,1.323244791754731,0.5862381318516661,0.3494426819217957
51,0.00937196970740451,2.620258567528372,0.5578384366990604,0.30124369131189277
52,0.013390076311328743,1.9425330793816349,0.575469151092655,0.32534318661684425
53,0.010346289676955984,1.4853992578718802,0.5209442444137098,0.3092768564135433
